date,dengue,dengue fever,bone pain,rain,mosquito bite,fever,rashes,rash,mosquito
2013-11-10,20,24,25,42,0,54,79,65,32
2013-11-17,25,19,0,42,93,56,78,65,42
2013-11-24,20,17,55,44,50,50,71,65,30
2013-12-01,19,11,26,43,0,60,79,62,34
2013-12-08,16,13,21,33,44,47,64,76,38
2013-12-15,17,20,0,40,29,58,91,75,34
2013-12-22,15,15,100,37,46,55,99,53,32
2012-01-01,61,39,0,59,0,95,80,85,48
2012-01-08,50,53,100,52,0,94,90,76,61
2012-01-15,49,43,53,53,34,75,79,71,55
2012-01-22,52,49,67,52,0,78,14,76,58
2012-01-29,60,61,0,56,0,90,41,67,70
2012-02-05,49,41,0,47,26,93,71,62,94
2012-02-12,49,33,0,50,0,87,50,75,32
2012-02-19,67,37,31,47,0,91,100,63,46
2012-02-26,41,41,0,52,90,90,69,81,47
2012-03-04,40,52,39,54,0,93,55,63,36
2012-03-11,26,31,56,58,0,80,33,57,67
2012-03-18,50,64,66,49,44,92,46,68,78
2012-03-25,56,73,29,59,52,86,65,63,100
2012-04-01,0,79,26,66,0,74,58,63,78
2012-04-08,40,45,43,73,0,94,44,83,89
2012-04-15,37,35,60,75,0,78,41,80,89
2012-04-22,61,88,23,83,0,95,52,69,61
2012-04-29,91,76,21,87,89,90,46,71,71
2012-05-06,53,0,0,100,0,76,64,57,78
2012-05-13,72,0,28,78,34,81,65,70,90
2012-05-20,54,28,40,78,0,90,39,80,39
2012-05-27,25,41,0,84,0,100,37,61,68
2012-06-03,73,62,43,55,0,87,59,31,80
2012-06-10,57,53,0,44,0,92,100,73,77
2012-06-17,57,55,0,47,79,70,76,43,65
2012-06-24,57,64,24,44,0,70,67,59,59
2012-07-01,47,54,0,59,0,81,53,59,56
2012-07-08,100,87,0,48,0,96,54,93,61
2012-07-15,56,83,28,50,0,90,52,64,80
2012-07-22,71,59,24,33,100,85,66,31,85
2012-07-29,38,75,45,48,0,76,56,89,96
