year,week,dengue_fever,dengue,bone_pain,rain,mosquito_bite,fever,rashes,rash,mosquito
2016,22,10,48,54,76,23,70,57,55,8
2016,23,18,45,54,74,22,74,50,60,8
2016,24,14,34,100,68,36,70,53,62,8
2016,25,37,36,0,60,53,65,50,61,8
2016,26,54,45,67,62,12,66,93,71,7
2016,27,20,38,0,54,0,62,23,80,7
2016,28,45,48,69,71,14,75,40,68,7
2016,29,43,46,21,82,0,74,32,55,7
2016,30,37,47,53,69,0,81,71,58,7
2016,31,33,48,0,64,19,77,94,33,8
2016,32,21,27,49,47,22,65,67,48,6
2016,33,35,40,58,47,9,56,66,69,5
2016,34,31,33,88,64,16,55,70,62,5
2016,35,63,88,0,60,100,80,94,100,100
2016,36,35,63,69,64,27,70,98,92,52
2016,37,36,45,29,73,51,69,91,100,23
2016,38,13,47,44,56,8,73,92,60,16
2016,39,10,30,44,60,22,58,56,58,10
2016,40,34,40,42,75,0,55,62,58,6
2016,41,17,39,37,59,26,72,74,58,8
2016,42,33,29,42,57,9,53,77,53,7
2016,43,18,26,22,91,22,57,49,59,7
2016,44,22,24,66,72,13,56,47,43,6
2016,45,7,20,37,67,22,58,50,60,5
2016,46,18,19,93,78,14,64,66,45,8
2016,47,24,25,60,72,24,50,72,59,6
2016,48,6,23,35,64,56,57,85,43,7
2016,49,8,12,31,64,16,59,57,49,5
2016,50,9,15,30,68,8,46,86,66,5
2016,51,16,9,0,75,15,54,71,48,3
2016,52,0,17,81,79,15,58,53,47,6
2015,1,0,43,19,51,36,58,48,65,68
2015,2,44,66,37,38,36,71,69,70,56
2015,3,18,49,20,40,34,62,60,95,37
2015,4,52,66,34,38,0,68,72,80,72
2015,5,45,55,26,44,22,58,51,75,70
2015,6,50,42,100,36,0,68,76,94,61
2015,7,36,34,0,41,0,68,60,76,48
2015,8,50,57,17,29,37,65,48,66,64
2015,9,38,45,0,34,0,70,62,59,82
2015,10,55,62,22,46,0,67,81,83,92
2015,11,34,58,0,49,21,74,51,56,63
2015,12,34,52,43,45,16,59,50,100,63
2015,13,26,40,19,71,27,65,29,79,49
2015,14,37,54,37,46,29,68,59,72,60
2015,15,39,46,54,46,28,62,47,80,68
2015,16,26,52,30,58,29,58,32,97,78
2015,17,43,53,20,60,0,56,13,75,62
